Year,Month,Day,Time UTC,Mag,Lat,Lon,Depth km,Region,IRIS ID,Timestamp
2019,4,1,0.421805556,5.2,33.5771,45.818,10,IRAN-IRAQ BORDER REGION,11021006,1554113244
2019,4,1,0.341342593,5.5,7.5503,94.3786,10,"NICOBAR ISLANDS, INDIA REGION",11020989,1554106292
2019,4,1,0.244895833,5.2,7.533,94.3784,10,"NICOBAR ISLANDS, INDIA REGION",11020962,1554097959
2019,4,1,0.173078704,5,7.4768,94.2256,10,"NICOBAR ISLANDS, INDIA REGION",11020944,1554091754
2019,4,1,0.151469907,5,7.5409,94.1708,10,"NICOBAR ISLANDS, INDIA REGION",11020930,1554089887
2019,4,1,0.09505787,5.5,10.5936,125.8813,57.7,"LEYTE, PHILIPPINES",11020904,1554085013
2019,4,1,0.058310185,5.2,7.6038,94.2453,10,"NICOBAR ISLANDS, INDIA REGION",11020894,1554081838
2019,4,1,0.056608796,5.2,7.6966,94.2761,10,"NICOBAR ISLANDS, INDIA REGION",11020895,1554081691
2019,4,1,0.002581019,5.1,7.802,94.3659,10,"NICOBAR ISLANDS, INDIA REGION",11020876,1554077023
2019,3,31,0.990752315,5.1,7.885,94.2151,10,"NICOBAR ISLANDS, INDIA REGION",11020878,1554076001
2019,3,31,0.989386574,5.2,7.7858,94.2912,10,"NICOBAR ISLANDS, INDIA REGION",11020879,1554075883
2019,3,31,0.644409722,5.5,-9.9577,-79.3261,26.7,OFF COAST OF NORTHERN PERU,11020776,1554046077
2019,3,31,0.479363426,5,37.5137,29.3835,10,TURKEY,11020736,1554031817
2019,3,31,0.311678241,5.4,-1.9469,-80.7096,10,NEAR COAST OF ECUADOR,11020691,1554017329
2019,3,31,0.310601852,5.1,-1.9489,-80.717,32.6,NEAR COAST OF ECUADOR,11020696,1554017236
2019,3,31,0.2978125,5,-2.0117,-80.987,10,NEAR COAST OF ECUADOR,11020687,1554016131
2019,3,31,0.294490741,6.2,-1.9858,-80.8081,18.5,NEAR COAST OF ECUADOR,11020682,1554015844
2019,3,31,0.0065625,5.4,-8.5926,156.4949,10,SOLOMON ISLANDS,11020608,1553990967
2019,3,30,0.472731481,6.1,-5.674,151.0907,57.2,"NEW BRITAIN REGION, P.N.G.",11020456,1553944844
2019,3,30,0.448831019,5.2,38.3815,22.3939,10,GREECE,11020449,1553942779
2019,3,30,0.269016204,5.9,-9.6763,66.4967,10,MID-INDIAN RIDGE,11020391,1553927243
2019,3,30,0.21244213,5,-9.8062,161.0282,53.2,SOLOMON ISLANDS,11020377,1553922355
2019,3,29,0.872002315,5.1,30.6084,131.0563,24.4,"KYUSHU, JAPAN",11020211,1553892941
2019,3,29,0.583622685,5.1,-8.2781,119.7067,178.1,"FLORES REGION, INDONESIA",11020015,1553868025
2019,3,28,0.921400463,6.2,50.5022,159.9632,9,EAST OF KURIL ISLANDS,11019798,1553810809
2019,3,28,0.67931713,5,12.0132,142.2383,56.3,SOUTH OF MARIANA ISLANDS,11019565,1553789893
2019,3,28,0.628842593,5.4,-24.5457,-70.1183,59,NEAR COAST OF NORTHERN CHILE,11019536,1553785532
2019,3,28,0.382013889,5.2,-6.3612,143.2755,10,"NEW GUINEA, PAPUA NEW GUINEA",11019464,1553764206
2019,3,28,0.130706019,5.2,11.168,95.1437,10,"ANDAMAN ISLANDS, INDIA REGION",11019387,1553742493
2019,3,27,0.840833333,5,12.1198,142.2974,35,SOUTH OF MARIANA ISLANDS,11019256,1553717448
2019,3,27,0.276458333,5.3,32.2031,132.1102,39.3,"SHIKOKU, JAPAN",11019028,1553668686
2019,3,27,0.007893519,5.4,32.2024,132.0089,15.1,"SHIKOKU, JAPAN",11018929,1553645482
2019,3,26,0.947685185,5.4,-57.5067,-147.2124,10,PACIFIC-ANTARCTIC RIDGE,11019328,1553640280
2019,3,26,0.912569444,5.3,-21.3549,-173.4179,10,TONGA ISLANDS,11018883,1553637246
2019,3,26,0.893946759,5,66.3171,-157.1987,19.7,NORTHERN ALASKA,11018863,1553635637
2019,3,26,0.50125,5.6,12.4956,-89.2334,10,OFF COAST OF CENTRAL AMERICA,11018667,1553601708
2019,3,25,0.453240741,5.2,-21.3226,-70.0619,72.3,NEAR COAST OF NORTHERN CHILE,11018240,1553511160
2019,3,24,0.519166667,5.1,15.6724,-94.7383,50.3,"NEAR COAST OF OAXACA, MEXICO",11018057,1553430456
2019,3,24,0.395856481,5.3,12.1073,-86.7518,95.7,NICARAGUA,11017960,1553419802
2019,3,24,0.19275463,6.1,1.7088,126.4233,37.4,NORTHERN MOLUCCA SEA,11017911,1553402254
